,PROFIT_DIFF_1_z60_rolling_ic_size252,PROFIT_DIFF_1_z60_rolling_icir_size252,PROFIT_DIFF_1_z60_rolling_rankic_size252
2023-08-31,0.057979826028651336,1.4173295229945784,0.06969261529082167
2023-09-01,0.07351867390325126,1.4332223285440344,0.07978634456316443
2023-09-04,0.06838380219151127,1.4493251503001745,0.07317841339566655
2023-09-05,0.0684849087350294,1.4662134919070648,0.07318066303178805
2023-09-06,0.08160920963307816,1.4860380307838243,0.0852679579125073
2023-09-07,0.08349939023936985,1.5039013602396887,0.08745235458646568
2023-09-08,0.08557522246015165,1.5217189115292493,0.09096628620821953
2023-09-11,0.0830921233118985,1.5381855903659325,0.08549592103948407
2023-09-12,0.08287269005267875,1.5578860407519752,0.08562265054099419
2023-09-13,0.07805616733144936,1.578112905578643,0.07836007526214525
2023-09-14,0.07691034559745889,1.604253952822671,0.07655961648625302
2023-09-18,0.0754077244112061,1.6310993152792916,0.07366958394885664
2023-09-19,0.07311708256475348,1.6582473971026377,0.06869038933331129
2023-09-20,0.07140752839168502,1.6799119481470215,0.06517570783285027
2023-09-21,0.04774747896162458,1.6951087394785072,0.05066930424283141
2023-09-22,0.04043457389377959,1.7065818956457879,0.041205834958466574
2023-09-25,0.04015198167779456,1.7192002376788436,0.040811612987628566
2023-09-26,0.04106390773655999,1.7342934449487613,0.04155302879988186
2023-09-27,0.020403908068751964,1.7387834761354946,0.03136442680569287
2023-10-09,0.02013412904737933,1.741364418605419,0.030987237815991164
2023-10-10,0.019603167806873874,1.7440194710187436,0.02915228461956955
2023-10-11,0.018925813235220735,1.7474088086429826,0.027045875331155853
2023-10-12,0.01980725776436188,1.7519171239473585,0.02896256530665795
2023-10-13,0.019670452130078786,1.7565693372975295,0.028293673499870838
2023-10-16,0.02589892297506525,1.7623220269436464,0.0363803654778891
2023-10-17,0.023751178435933606,1.7668930414818314,0.032864934098720926
2023-10-18,0.02096968334617795,1.770162000746539,0.027761259617786915
2023-10-19,0.023834109803211136,1.7756687137227416,0.0338037822400858
2023-10-20,0.021756796016627736,1.7780740090682676,0.029389996169739408
2023-10-23,0.013211558153494106,1.7755656156369002,0.023062519638719556
2023-10-24,0.012695567083282278,1.772536703313996,0.02177947717076803
2023-10-25,0.00617267884633993,1.7654432739782873,0.014327182579007504
2023-10-26,0.007128439832802362,1.7594183224476192,0.016842275762823645
2023-10-27,0.005450614163419522,1.7542215561019443,0.015535987054950146
2023-10-30,0.0012945451506813273,1.7443465105014502,0.010351325673642813
2023-10-31,-0.003495300054795332,1.731147063996057,0.004790225181340937
2023-11-01,-0.007450088099714405,1.7149022977336295,-0.002737807159842793
2023-11-02,-0.005677908240153852,1.698337826854579,0.0018049580481351963
